customer_id,signup_date,customer_type,loyalty_status
54,23-02-2025,Retail,Yes
492,29-06-2025,Retail,No
437,22-11-2025,Retail,No
188,11-05-2025,Retail,No
145,05-12-2025,Retail,Yes
234,15-09-2025,Retail,No
450,31-01-2025,Retail,No
376,12-06-2025,Enterprise,No
333,15-12-2025,Enterprise,No
460,26-07-2025,Retail,No
241,26-02-2025,Enterprise,No
150,15-07-2025,Retail,No
57,07-09-2025,Enterprise,No
157,10-07-2025,Enterprise,No
64,02-10-2025,Retail,No
456,06-09-2025,Retail,Yes
68,28-06-2025,Retail,No
185,06-06-2025,Enterprise,No
167,08-07-2025,Enterprise,Yes
132,19-04-2025,Retail,Yes
366,11-07-2025,Retail,No
51,18-03-2025,Retail,Yes
253,11-11-2025,Retail,Yes
255,19-01-2025,Enterprise,Yes
481,14-05-2025,Enterprise,Yes
140,20-12-2025,Retail,Yes
183,15-02-2025,Retail,Yes
238,25-10-2025,Retail,No
142,26-12-2025,Retail,No
395,13-01-2025,Enterprise,Yes
92,07-09-2025,Enterprise,No
424,24-05-2025,Enterprise,Yes
314,03-06-2025,Enterprise,No
473,24-06-2025,Retail,No
493,19-02-2025,Enterprise,Yes
78,25-04-2025,Retail,No
389,26-03-2025,Enterprise,Yes
219,28-05-2025,Enterprise,Yes
115,04-05-2025,Enterprise,No
321,04-10-2025,Retail,Yes
311,03-02-2025,Retail,No
421,23-07-2025,Enterprise,No
103,12-02-2025,Retail,No
428,09-07-2025,Enterprise,No
310,04-01-2025,Retail,Yes
214,06-01-2025,Enterprise,No
61,02-12-2025,Enterprise,No
35,30-07-2025,Retail,No
354,21-04-2025,Enterprise,Yes
121,06-07-2025,Retail,Yes
71,24-12-2025,Retail,Yes
287,13-12-2025,Enterprise,Yes
218,10-07-2025,Retail,Yes
217,20-02-2025,Retail,No
249,14-07-2025,Enterprise,Yes
187,16-11-2025,Retail,No
79,10-12-2025,Retail,Yes
361,16-09-2025,Enterprise,No
58,21-01-2025,Retail,No
33,15-12-2025,Enterprise,No
436,23-06-2025,Retail,No
73,23-03-2025,Retail,Yes
373,28-08-2025,Enterprise,No
334,13-09-2025,Enterprise,Yes
134,30-10-2025,Retail,Yes
379,27-02-2025,Enterprise,Yes
378,13-02-2025,Enterprise,Yes
289,14-10-2025,Retail,Yes
440,16-02-2025,Retail,No
141,16-11-2025,Enterprise,No
21,10-01-2025,Retail,No
250,17-09-2025,Enterprise,Yes
465,17-04-2025,Retail,Yes
382,29-09-2025,Enterprise,No
261,18-08-2025,Enterprise,Yes
381,16-05-2025,Retail,Yes
259,17-09-2025,Enterprise,No
364,26-09-2025,Retail,Yes
337,25-05-2025,Retail,No
24,20-01-2025,Enterprise,Yes
338,20-09-2025,Enterprise,No
182,24-02-2025,Enterprise,Yes
109,09-12-2025,Retail,Yes
328,16-04-2025,Enterprise,No
308,30-08-2025,Retail,Yes
89,21-06-2025,Enterprise,No
476,24-04-2025,Enterprise,Yes
285,25-03-2025,Retail,No
494,19-06-2025,Enterprise,Yes
484,22-12-2025,Retail,Yes
286,01-05-2025,Retail,No
91,04-05-2025,Enterprise,No
491,15-02-2025,Retail,No
410,12-04-2025,Retail,No
111,19-07-2025,Enterprise,No
483,07-10-2025,Enterprise,Yes
282,27-01-2025,Retail,No
44,22-05-2025,Retail,No
59,09-03-2025,Retail,Yes
398,12-12-2025,Retail,No
383,25-06-2025,Enterprise,No
313,17-02-2025,Enterprise,No
138,15-06-2025,Enterprise,No
301,21-03-2025,Enterprise,Yes
498,20-06-2025,Enterprise,No
47,04-10-2025,Enterprise,No
152,24-02-2025,Retail,Yes
203,06-06-2025,Enterprise,Yes
374,16-06-2025,Retail,No
148,03-08-2025,Retail,No
242,09-03-2025,Retail,No
18,30-08-2025,Retail,Yes
320,21-05-2025,Retail,Yes
375,02-02-2025,Retail,No
414,24-07-2025,Retail,Yes
495,10-02-2025,Enterprise,Yes
177,28-11-2025,Enterprise,Yes
245,21-04-2025,Enterprise,Yes
98,16-02-2025,Retail,Yes
336,01-04-2025,Retail,Yes
325,25-06-2025,Retail,No
267,31-10-2025,Retail,No
122,11-10-2025,Enterprise,No
77,23-05-2025,Retail,No
39,17-07-2025,Enterprise,No
154,02-11-2025,Enterprise,Yes
231,12-04-2025,Retail,No
342,27-09-2025,Enterprise,No
213,10-10-2025,Retail,Yes
230,21-07-2025,Retail,Yes
189,21-08-2025,Retail,No
16,08-11-2025,Retail,No
309,18-12-2025,Retail,Yes
277,11-08-2025,Retail,No
316,19-08-2025,Retail,No
80,25-03-2025,Enterprise,No
294,03-07-2025,Retail,Yes
117,14-12-2025,Enterprise,No
176,08-02-2025,Enterprise,No
172,06-02-2025,Enterprise,Yes
298,12-02-2025,Enterprise,Yes
191,13-11-2025,Retail,No
422,05-03-2025,Enterprise,Yes
279,17-09-2025,Retail,Yes
394,26-01-2025,Retail,Yes
438,11-10-2025,Enterprise,Yes
258,07-11-2025,Retail,Yes
179,29-11-2025,Enterprise,Yes
139,04-09-2025,Enterprise,Yes
228,05-07-2025,Retail,Yes
28,10-07-2025,Retail,Yes
247,19-01-2025,Retail,No
197,18-06-2025,Enterprise,No
485,03-06-2025,Enterprise,Yes
223,22-09-2025,Retail,No
349,07-10-2025,Enterprise,Yes
405,24-10-2025,Retail,No
496,03-07-2025,Enterprise,No
353,30-11-2025,Retail,Yes
430,15-07-2025,Enterprise,No
350,10-02-2025,Retail,Yes
170,11-10-2025,Retail,Yes
330,05-08-2025,Retail,Yes
345,20-10-2025,Retail,No
23,14-04-2025,Retail,Yes
454,29-03-2025,Enterprise,No
4,14-05-2025,Enterprise,Yes
85,02-10-2025,Retail,Yes
276,22-11-2025,Retail,No
127,10-10-2025,Retail,Yes
468,20-11-2025,Enterprise,Yes
45,26-12-2025,Enterprise,Yes
262,27-06-2025,Retail,No
358,21-12-2025,Retail,No
427,04-10-2025,Enterprise,Yes
194,07-03-2025,Retail,Yes
49,30-11-2025,Enterprise,No
500,30-05-2025,Enterprise,No
489,10-02-2025,Retail,Yes
362,07-06-2025,Retail,Yes
416,05-06-2025,Enterprise,Yes
41,15-08-2025,Enterprise,Yes
31,09-09-2025,Enterprise,Yes
380,11-04-2025,Retail,No
475,10-05-2025,Retail,No
466,20-11-2025,Enterprise,No
488,04-02-2025,Enterprise,No
20,21-11-2025,Retail,Yes
147,09-03-2025,Enterprise,Yes
343,25-06-2025,Retail,Yes
113,05-08-2025,Enterprise,No
108,05-03-2025,Retail,No
470,20-07-2025,Enterprise,Yes
221,30-01-2025,Retail,Yes
268,29-10-2025,Enterprise,Yes
418,02-08-2025,Enterprise,Yes
371,02-11-2025,Retail,No
96,14-09-2025,Enterprise,Yes
174,18-02-2025,Retail,No
256,11-10-2025,Retail,No
397,18-03-2025,Enterprise,No
43,06-07-2025,Enterprise,Yes
66,02-03-2025,Enterprise,Yes
472,21-12-2025,Retail,Yes
206,07-07-2025,Enterprise,Yes
449,09-03-2025,Retail,No
159,13-01-2025,Enterprise,No
369,14-05-2025,Enterprise,No
123,14-06-2025,Retail,Yes
116,06-10-2025,Enterprise,No
90,22-02-2025,Retail,Yes
81,04-07-2025,Retail,No
290,25-11-2025,Enterprise,Yes
270,30-05-2025,Retail,No
455,05-09-2025,Retail,No
125,17-05-2025,Retail,Yes
458,08-06-2025,Enterprise,Yes
84,12-07-2025,Enterprise,No
280,25-02-2025,Enterprise,No
459,09-03-2025,Enterprise,Yes
208,15-06-2025,Retail,Yes
346,10-05-2025,Retail,Yes
452,07-05-2025,Enterprise,Yes
6,02-05-2025,Enterprise,Yes
101,02-07-2025,Retail,Yes
166,11-05-2025,Retail,No
356,31-03-2025,Enterprise,Yes
55,01-10-2025,Enterprise,Yes
196,29-11-2025,Retail,No
67,07-06-2025,Enterprise,Yes
137,09-08-2025,Retail,Yes
265,11-09-2025,Enterprise,Yes
273,22-02-2025,Enterprise,No
417,02-12-2025,Retail,Yes
30,18-05-2025,Enterprise,Yes
209,30-07-2025,Enterprise,No
480,04-12-2025,Retail,No
387,04-02-2025,Enterprise,No
269,02-07-2025,Enterprise,No
222,26-01-2025,Retail,No
368,03-07-2025,Enterprise,No
406,11-06-2025,Enterprise,Yes
393,17-03-2025,Enterprise,No
25,11-01-2025,Retail,No
244,04-11-2025,Enterprise,Yes
248,12-04-2025,Retail,No
107,10-12-2025,Enterprise,No
463,26-03-2025,Enterprise,No
226,27-04-2025,Retail,No
216,02-09-2025,Enterprise,Yes
95,31-08-2025,Retail,Yes
220,24-07-2025,Retail,Yes
299,13-11-2025,Enterprise,No
36,05-01-2025,Retail,Yes
341,17-01-2025,Enterprise,No
82,01-01-2025,Retail,No
482,21-02-2025,Retail,No
295,19-06-2025,Enterprise,Yes
453,26-10-2025,Retail,No
32,25-05-2025,Enterprise,Yes
5,19-03-2025,Retail,Yes
2,15-05-2025,Enterprise,No
42,01-02-2025,Retail,Yes
370,11-11-2025,Enterprise,Yes
392,25-06-2025,Retail,No
224,15-11-2025,Enterprise,No
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
