hub_id,hub_city,daily_shipment_capacity
2,Delhi,9018
4,Pune,3468
9,Jaipur,8720
7,Jaipur,7853
10,Pune,1043
9,Pune,8019
5,Chennai,6283
3,Jammu,2827
10,Delhi,3814
3,Pune,1205
4,Surat,2562
9,Bangalore,6071
7,Surat,8630
9,Chennai,6392
1,Chennai,6578
7,Pune,7630
7,Pune,8229
4,Jammu,3680
5,Pune,2845
10,Delhi,4299
7,Mumbai,9627
4,Mumbai,8439
10,Delhi,6779
5,Mumbai,8418
9,Chennai,8126
8,Surat,7139
7,Surat,7640
7,Panjim,8788
6,Jammu,2190
3,Mumbai,3752
9,Pune,1861
6,Chennai,8977
4,Mumbai,1207
9,Surat,8891
9,Bangalore,3542
6,Surat,5495
5,Bangalore,3667
10,Chennai,9434
10,Pune,6441
3,Mumbai,4810
8,Surat,7856
3,Chennai,6389
4,Kolkata,6768
5,Surat,3936
3,Pune,1786
1,Pune,4809
2,Jammu,6558
4,Pune,2848
4,Delhi,2193
9,Chennai,4166
2,Surat,5132
1,Bangalore,4804
8,Delhi,5092
8,Bangalore,1287
1,Surat,7539
7,Chennai,7234
10,Surat,1321
10,Jaipur,4635
5,Panjim,7746
4,Jaipur,2418
5,Bangalore,1994
9,Bangalore,8463
5,Delhi,9078
7,Jaipur,4070
2,Pune,5792
1,Jaipur,4678
5,Panjim,1053
2,Chennai,9088
9,Jammu,3810
5,Jaipur,1419
2,Delhi,6894
6,Chennai,2833
5,Jammu,8207
10,Bangalore,8147
8,Panjim,2357
3,Jaipur,8645
2,Bangalore,3784
3,Bangalore,3771
4,Kolkata,6947
3,Jammu,3160
2,Chennai,1943
8,Jammu,8840
3,Bangalore,6045
3,Surat,5478
6,Jaipur,5128
4,Surat,1043
2,Pune,8430
6,Panjim,2682
1,Kolkata,5252
4,Bangalore,9499
5,Panjim,5898
6,Bangalore,1166
4,Pune,2315
10,Panjim,9062
6,Bangalore,2051
7,Delhi,6135
8,Surat,7403
7,Surat,7200
3,Pune,5744
7,Panjim,2920
6,Pune,4891
5,Bangalore,5407
6,Kolkata,8090
1,Chennai,1831
8,Jaipur,4089
7,Panjim,3524
3,Kolkata,3108
6,Delhi,3096
5,Panjim,8194
9,Jammu,2692
7,Pune,4595
8,Mumbai,8863
3,Mumbai,3861
4,Surat,4324
6,Mumbai,4146
8,Delhi,6980
8,Chennai,4694
3,Bangalore,6314
8,Surat,3356
1,Bangalore,4650
6,Mumbai,6986
4,Panjim,7493
5,Mumbai,4198
5,Kolkata,1787
6,Surat,4892
1,Kolkata,9820
4,Panjim,8078
1,Pune,1289
4,Delhi,8950
8,Pune,8380
10,Jaipur,3450
6,Delhi,6172
5,Mumbai,5021
1,Jaipur,5302
10,Chennai,8995
1,Bangalore,9231
2,Kolkata,1917
2,Mumbai,7929
8,Delhi,3221
3,Delhi,1315
7,Delhi,5575
2,Bangalore,8760
10,Pune,2117
2,Surat,3061
7,Panjim,8766
3,Jammu,8666
7,Surat,8572
5,Delhi,1366
4,Mumbai,7773
8,Jaipur,1681
2,Delhi,9443
5,Panjim,4240
7,Delhi,8465
9,Delhi,1474
6,Mumbai,3507
9,Bangalore,4639
10,Bangalore,9270
8,Bangalore,8618
3,Surat,4989
9,Delhi,8998
4,Chennai,9407
4,Panjim,7979
6,Jammu,3466
1,Jammu,6399
3,Jammu,4071
5,Panjim,1146
9,Kolkata,4412
8,Kolkata,7803
5,Jammu,3140
9,Surat,2686
10,Panjim,6801
2,Jaipur,4217
1,Panjim,1289
9,Jammu,2451
8,Bangalore,7292
9,Surat,5861
4,Bangalore,5140
1,Mumbai,5412
9,Jammu,7174
8,Mumbai,8789
4,Delhi,5527
6,Chennai,4250
5,Panjim,9778
7,Delhi,2726
8,Kolkata,5877
10,Delhi,2364
5,Pune,6249
7,Mumbai,9977
4,Delhi,2488
4,Chennai,3834
7,Mumbai,7288
9,Jammu,5088
1,Delhi,7102
9,Mumbai,3801
8,Delhi,1094
9,Mumbai,8116
8,Panjim,3512
6,Jammu,1639
6,Panjim,3202
10,Surat,2015
7,Delhi,2139
8,Delhi,8563
3,Bangalore,7710
6,Delhi,9883
7,Chennai,7861
5,Surat,8460
2,Panjim,7568
5,Chennai,7943
10,Mumbai,5071
6,Surat,2249
10,Jaipur,7252
8,Mumbai,9543
6,Pune,7600
8,Mumbai,4822
9,Chennai,6383
4,Jammu,2558
1,Pune,8182
1,Jammu,9756
3,Jammu,6405
4,Kolkata,1729
3,Kolkata,7518
3,Delhi,6396
9,Mumbai,2150
4,Jaipur,4671
5,Panjim,5094
6,Panjim,3425
10,Pune,1458
7,Panjim,6411
10,Jaipur,6562
1,Kolkata,5084
5,Jaipur,8790
6,Chennai,5866
7,Mumbai,5113
5,Chennai,2041
8,Jaipur,9226
5,Surat,5225
10,Chennai,5396
2,Panjim,3198
8,Mumbai,9451
5,Kolkata,2160
6,Kolkata,4347
3,Kolkata,3664
9,Bangalore,5577
1,Surat,8171
1,Jammu,7728
7,Chennai,4135
7,Chennai,7395
8,Kolkata,9586
8,Delhi,5298
4,Panjim,1391
9,Kolkata,8433
8,Panjim,5079
7,Panjim,3632
7,Surat,8307
8,Panjim,1984
9,Pune,2626
5,Pune,8179
9,Delhi,2380
5,Pune,3848
4,Jammu,2894
2,Delhi,4188
7,Chennai,4229
3,Mumbai,6199
10,Mumbai,7099
9,Panjim,3630
8,Jammu,8982
5,Delhi,5783
7,Pune,6025
3,Delhi,8130
8,Jammu,9290
3,Chennai,7678
8,Bangalore,8885
2,Delhi,1218
8,Jaipur,9013
6,Jammu,5955
3,Panjim,6703
6,Bangalore,2726
8,Chennai,6464
4,Surat,2171
4,Surat,5990
5,Panjim,4510
6,Jammu,9860
10,Jaipur,1909
4,Delhi,2787
1,Surat,2181
5,Delhi,3511
4,Delhi,1633
5,Mumbai,1197
9,Jaipur,1841
8,Jammu,7948
10,Delhi,4600
1,Surat,1717
7,Delhi,9368
7,Chennai,1621
10,Jaipur,1476
9,Jammu,8427
1,Delhi,7441
4,Delhi,4243
5,Surat,3653
3,Panjim,2828
1,Jaipur,5949
5,Surat,3883
1,Panjim,9297
10,Jaipur,2917
4,Pune,8610
8,Bangalore,1168
6,Pune,2641
8,Panjim,6293
2,Pune,2697
6,Kolkata,3833
2,Bangalore,4816
3,Pune,5712
7,Kolkata,3078
1,Panjim,3792
4,Chennai,7492
3,Delhi,7262
2,Mumbai,7526
8,Mumbai,3633
1,Surat,7312
5,Jaipur,9403
1,Jaipur,5580
8,Kolkata,1637
7,Delhi,3356
6,Jammu,2176
5,Mumbai,3414
2,Delhi,7618
