order_id ,order_date,customer_id,order_value,payment_type
482,05-04-2025,416,24672,upi
195,06-05-2025,77,64799,card
493,17-11-2025,449,40796,upi
43,03-03-2025,356,45570,nb
125,08-02-2025,56,89256,card
109,22-11-2025,176,11289,upi
222,28-03-2025,212,78087,cash
347,08-02-2025,192,91531,cash
32,27-05-2025,56,60920,card
106,18-11-2025,183,9461,card
247,09-06-2025,215,92525,cash
3,15-03-2025,128,26581,nb
186,11-04-2025,455,67851,card
487,11-10-2025,314,74956,upi
125,18-11-2025,2,12679,cash
272,08-12-2025,485,4708,card
259,03-03-2025,182,51530,upi
100,13-08-2025,369,76332,nb
208,20-04-2025,344,76067,nb
64,14-12-2025,92,1690,nb
19,03-09-2025,180,40439,nb
39,15-06-2025,231,90215,cash
322,16-08-2025,107,58211,card
284,04-04-2025,28,8793,upi
280,08-02-2025,240,76501,nb
318,03-02-2025,284,16025,upi
33,29-07-2025,280,56770,nb
402,03-10-2025,381,91210,card
255,15-04-2025,19,12079,nb
352,04-10-2025,429,17587,nb
459,07-06-2025,137,48057,nb
399,11-06-2025,131,90910,card
228,28-08-2025,260,56052,card
57,30-03-2025,416,9010,cash
49,02-03-2025,150,27891,cash
233,16-09-2025,373,62057,card
479,03-12-2025,481,38115,upi
341,06-08-2025,95,72413,nb
25,15-04-2025,264,48758,card
230,26-05-2025,368,62150,card
106,29-09-2025,34,40330,cash
304,05-05-2025,106,7351,cash
383,02-01-2025,196,49193,cash
397,02-10-2025,494,69461,upi
167,08-04-2025,461,57999,upi
73,15-07-2025,172,94265,cash
79,21-07-2025,87,32347,upi
26,03-04-2025,78,95359,cash
297,02-03-2025,288,50007,nb
117,23-01-2025,121,43471,upi
11,12-04-2025,493,89950,upi
150,09-11-2025,269,64215,card
383,15-02-2025,308,44710,upi
266,01-12-2025,387,31162,nb
350,25-05-2025,22,58459,card
340,13-11-2025,107,30890,upi
224,13-02-2025,500,30617,cash
323,16-06-2025,57,53310,nb
435,16-06-2025,437,72763,upi
139,26-08-2025,347,48713,cash
81,12-09-2025,162,38399,nb
394,02-05-2025,156,26387,nb
498,16-03-2025,331,39938,upi
110,14-08-2025,35,12605,nb
419,08-04-2025,194,61947,cash
448,09-11-2025,19,45593,card
300,07-08-2025,366,82836,upi
470,29-03-2025,282,90833,upi
178,22-02-2025,116,35942,upi
358,29-09-2025,350,7882,nb
293,12-05-2025,424,33885,upi
227,11-07-2025,262,90750,cash
361,11-07-2025,164,34185,cash
335,17-04-2025,355,55935,upi
128,21-09-2025,141,11215,cash
156,05-01-2025,225,60182,card
337,01-06-2025,17,34369,upi
84,27-02-2025,343,7981,card
431,10-07-2025,214,92416,cash
230,10-09-2025,457,18262,nb
311,30-05-2025,421,63715,cash
389,04-06-2025,25,66498,upi
204,23-08-2025,258,18202,upi
146,09-01-2025,250,61849,card
267,20-06-2025,360,42497,upi
322,06-10-2025,101,85837,upi
288,12-12-2025,272,6004,upi
84,20-02-2025,327,55989,card
400,20-02-2025,386,20214,card
318,23-06-2025,217,48110,cash
209,02-08-2025,442,3326,nb
417,13-12-2025,219,1622,card
400,10-11-2025,286,35674,nb
459,30-09-2025,72,6623,cash
460,27-10-2025,77,78524,nb
124,26-06-2025,277,84350,upi
284,10-08-2025,448,65930,card
409,01-03-2025,354,52244,cash
424,09-04-2025,301,30340,cash
87,23-09-2025,247,91915,upi
412,05-04-2025,11,40832,card
133,22-03-2025,396,79459,nb
255,30-01-2025,240,1046,card
333,11-02-2025,38,7018,cash
103,07-04-2025,101,48876,cash
485,29-05-2025,198,20847,nb
311,23-11-2025,226,41907,cash
467,02-02-2025,121,63734,upi
295,19-05-2025,355,28148,card
267,11-05-2025,424,93925,card
226,04-07-2025,102,76216,upi
470,16-04-2025,149,96468,nb
193,12-03-2025,270,85770,nb
335,11-07-2025,465,2407,cash
471,20-08-2025,126,947,cash
322,27-05-2025,481,86852,cash
181,10-04-2025,6,73793,nb
288,22-12-2025,51,72408,card
304,10-09-2025,71,39438,cash
66,28-02-2025,350,48304,card
149,18-03-2025,126,39214,card
20,06-12-2025,287,50825,nb
256,01-01-2025,157,90186,cash
484,28-08-2025,56,41794,nb
477,24-11-2025,326,22377,upi
8,13-11-2025,146,92271,nb
236,24-07-2025,134,49414,upi
97,07-09-2025,248,88737,nb
94,28-07-2025,125,11315,cash
492,25-01-2025,201,88029,nb
142,01-11-2025,272,96113,nb
473,29-05-2025,459,86169,nb
457,16-12-2025,124,26794,card
90,28-08-2025,355,77247,card
100,05-02-2025,3,46921,nb
499,31-07-2025,289,81141,cash
357,11-03-2025,46,66590,cash
488,25-12-2025,2,9794,cash
249,28-01-2025,159,7463,card
223,03-01-2025,448,60673,card
199,13-07-2025,424,83353,cash
473,29-09-2025,106,30975,cash
18,14-03-2025,142,92506,card
138,13-08-2025,221,29864,upi
450,31-08-2025,444,45499,upi
497,29-03-2025,207,31885,nb
372,12-04-2025,325,33633,card
263,02-11-2025,386,23967,card
304,04-06-2025,146,41854,upi
371,20-06-2025,405,14243,upi
199,29-12-2025,44,64685,cash
389,27-01-2025,94,34895,upi
8,18-02-2025,275,26000,cash
258,26-02-2025,15,44445,card
207,11-11-2025,250,98407,cash
223,02-02-2025,435,51159,cash
436,13-11-2025,124,80470,card
431,29-10-2025,240,872,upi
271,23-12-2025,44,39604,cash
444,31-03-2025,303,32154,nb
24,01-11-2025,160,16857,nb
466,27-09-2025,166,65924,nb
60,09-04-2025,499,21055,card
196,10-04-2025,66,44221,upi
185,03-08-2025,115,52183,nb
442,01-08-2025,22,945,upi
255,25-04-2025,362,72293,cash
217,06-10-2025,37,93376,upi
64,28-10-2025,83,90278,upi
383,29-07-2025,259,80784,card
482,16-01-2025,288,7169,card
83,07-08-2025,390,49227,nb
485,15-07-2025,411,25542,cash
40,09-12-2025,260,38404,nb
470,28-05-2025,170,87118,upi
248,07-03-2025,213,30271,nb
393,17-09-2025,129,84385,nb
94,21-11-2025,435,66167,card
348,14-05-2025,367,10221,upi
174,06-01-2025,428,71461,card
361,14-11-2025,242,78818,card
188,27-12-2025,199,3152,upi
42,04-10-2025,418,96958,nb
234,21-10-2025,4,73190,cash
439,26-03-2025,107,93048,card
354,25-05-2025,249,80297,card
211,12-01-2025,226,15321,upi
353,13-08-2025,455,39861,upi
332,07-03-2025,484,70320,nb
87,29-05-2025,196,15157,nb
481,18-11-2025,335,61869,cash
154,24-09-2025,451,90824,nb
400,19-05-2025,416,54127,card
262,29-11-2025,14,79343,card
156,25-02-2025,367,16854,nb
396,16-04-2025,252,39394,nb
182,09-12-2025,93,24113,nb
410,27-01-2025,101,59731,cash
193,30-01-2025,387,52984,nb
282,12-05-2025,84,30994,card
445,04-05-2025,381,52258,upi
475,24-05-2025,297,9896,cash
75,12-04-2025,284,54108,upi
218,19-11-2025,36,57755,upi
454,19-04-2025,206,25419,nb
157,20-02-2025,113,87676,card
26,14-07-2025,468,35033,card
251,16-01-2025,254,26467,upi
159,28-05-2025,206,44541,nb
425,10-03-2025,98,28614,upi
4,22-09-2025,425,28796,cash
2,24-05-2025,27,47829,nb
63,18-03-2025,88,48271,card
149,30-10-2025,9,28011,nb
476,23-12-2025,362,41605,cash
56,22-01-2025,298,26140,cash
432,21-01-2025,315,74540,upi
362,26-12-2025,26,18020,cash
456,21-08-2025,173,35488,card
18,03-01-2025,288,72453,cash
416,01-07-2025,126,20968,nb
140,05-12-2025,332,88836,card
341,31-07-2025,187,80388,cash
307,01-09-2025,396,41566,cash
260,03-02-2025,112,57507,card
44,23-07-2025,269,30689,cash
443,27-05-2025,106,57208,card
428,15-03-2025,274,66187,upi
350,04-06-2025,45,73933,nb
228,14-03-2025,244,23540,upi
232,14-10-2025,126,4977,cash
188,09-08-2025,209,25108,card
245,18-02-2025,226,75503,nb
415,26-10-2025,431,6542,cash
411,22-08-2025,219,54098,cash
48,20-11-2025,374,51397,cash
150,28-11-2025,213,29862,upi
331,17-09-2025,458,53729,cash
456,31-05-2025,68,73115,card
470,29-04-2025,151,82668,cash
17,21-11-2025,246,2697,upi
448,28-11-2025,500,33600,nb
193,06-05-2025,477,67512,upi
247,15-10-2025,319,60404,nb
192,24-02-2025,443,32535,upi
146,29-03-2025,497,13336,card
408,20-08-2025,493,80953,nb
482,02-05-2025,138,97016,cash
402,27-12-2025,223,59134,upi
259,16-07-2025,4,48657,cash
500,25-09-2025,249,52621,card
400,19-06-2025,380,96277,card
297,16-09-2025,432,1764,upi
428,10-01-2025,70,59689,card
6,27-06-2025,385,39262,nb
112,07-12-2025,294,45627,cash
311,19-07-2025,378,12080,upi
239,08-03-2025,465,28968,nb
160,28-04-2025,354,4188,upi
155,24-11-2025,465,97054,card
21,13-06-2025,306,57746,card
244,18-06-2025,163,6529,upi
218,15-12-2025,223,8932,nb
439,20-05-2025,207,44517,card
429,12-04-2025,325,9124,cash
50,14-11-2025,319,34249,upi
40,17-12-2025,408,69854,upi
428,29-12-2025,281,25190,card
336,05-10-2025,197,77158,cash
328,05-07-2025,75,73085,upi
380,02-06-2025,154,35747,cash
400,20-01-2025,118,61992,cash
306,21-10-2025,319,14720,upi
174,02-03-2025,63,36758,nb
126,24-05-2025,447,33314,nb
445,12-09-2025,492,56095,card
137,15-12-2025,460,42635,upi
361,14-05-2025,19,75023,cash
324,29-06-2025,377,59378,upi
202,27-05-2025,355,34934,upi
483,27-03-2025,52,16200,cash
354,10-01-2025,474,26476,upi
357,11-06-2025,85,83593,cash
280,19-06-2025,1,46246,nb
431,29-03-2025,88,92469,upi
243,13-04-2025,374,24999,upi
377,16-11-2025,442,10297,cash
367,18-09-2025,477,95455,upi
385,31-07-2025,379,80033,nb
275,21-10-2025,419,69145,card
251,03-08-2025,378,40821,upi
235,19-01-2025,386,84318,nb
290,15-10-2025,246,17287,cash
282,09-08-2025,88,18928,card
133,13-02-2025,51,95754,nb
368,24-11-2025,416,63260,nb
204,22-04-2025,452,88907,card
272,29-06-2025,246,23039,nb
348,19-08-2025,390,69985,nb
463,03-05-2025,220,81775,nb
396,07-02-2025,357,87374,nb
262,03-03-2025,58,52827,nb
225,14-04-2025,112,87465,card
222,14-12-2025,79,22491,nb
29,25-02-2025,257,23102,card
293,24-04-2025,183,2399,upi
26,14-10-2025,224,81719,upi
421,09-01-2025,334,27176,card
2,29-07-2025,374,11034,upi
478,27-03-2025,178,29124,card
250,17-07-2025,204,37686,upi
318,15-07-2025,177,87397,upi
174,23-10-2025,360,2800,upi
187,04-07-2025,16,75501,cash
240,28-08-2025,419,88099,card
90,19-02-2025,215,52390,upi
314,12-03-2025,84,58653,card
188,07-06-2025,187,68375,upi
311,21-04-2025,98,95797,upi
343,10-12-2025,123,7559,card
41,02-02-2025,42,42700,card
5,23-03-2025,197,66002,card
162,25-06-2025,253,36159,upi
397,17-03-2025,80,96514,cash
358,13-08-2025,251,82797,card
209,19-03-2025,449,20357,nb
475,12-01-2025,316,73636,cash
467,08-10-2025,457,65742,nb
397,18-03-2025,466,31808,nb
394,29-04-2025,435,47657,nb
272,14-11-2025,199,52423,upi
343,23-05-2025,128,99875,upi
177,26-09-2025,110,12394,cash
63,15-10-2025,96,53172,card
166,01-05-2025,336,15468,cash
163,17-09-2025,246,68999,cash
273,13-03-2025,398,73127,nb
431,22-04-2025,318,69849,upi
396,16-06-2025,80,44064,card
420,23-03-2025,314,1282,card
258,27-12-2025,290,72127,card
213,26-06-2025,331,74814,nb
118,14-09-2025,86,87763,nb
287,29-03-2025,422,35137,nb
430,02-04-2025,369,53008,card
129,02-01-2025,365,82185,card
195,15-11-2025,337,13037,cash
345,24-09-2025,39,91477,cash
229,02-11-2025,155,68958,cash
322,14-01-2025,170,15915,cash
145,13-09-2025,157,71752,upi
485,10-07-2025,62,36247,card
101,18-06-2025,269,71512,cash
147,21-01-2025,11,64359,card
112,20-05-2025,459,64092,nb
260,05-08-2025,367,87193,upi
63,14-01-2025,219,41702,upi
119,19-12-2025,294,1325,upi
226,23-04-2025,189,71570,card
191,13-10-2025,398,59808,card
43,27-09-2025,357,24899,card
278,09-02-2025,466,91000,cash
34,18-12-2025,460,42258,upi
377,31-07-2025,401,25286,upi
309,17-11-2025,12,81126,nb
254,20-12-2025,371,75577,upi
436,04-09-2025,411,35763,nb
46,11-11-2025,126,42915,upi
322,16-06-2025,67,12226,cash
310,26-03-2025,264,34508,nb
479,22-06-2025,400,25754,card
494,12-07-2025,281,48565,nb
284,12-05-2025,238,99641,upi
239,06-06-2025,202,82665,cash
252,08-03-2025,461,37894,nb
280,08-11-2025,159,76908,upi
453,29-05-2025,493,412,nb
463,01-03-2025,429,61800,upi
79,08-01-2025,248,72602,upi
69,23-01-2025,440,26914,cash
244,23-06-2025,186,61196,cash
177,09-08-2025,101,33710,card
402,19-03-2025,236,66497,cash
394,02-09-2025,110,12369,upi
100,25-10-2025,120,97891,upi
493,05-01-2025,226,5890,upi
408,02-02-2025,27,3104,cash
328,15-11-2025,313,42609,upi
490,23-07-2025,473,338,upi
314,22-07-2025,339,45848,nb
416,11-11-2025,164,13722,upi
435,01-10-2025,125,32467,cash
223,26-10-2025,364,470,card
87,17-08-2025,466,44623,cash
46,21-05-2025,472,96682,nb
395,14-04-2025,342,97790,nb
216,01-01-2025,2,25681,upi
363,19-08-2025,145,35062,card
393,04-08-2025,352,31953,upi
379,22-04-2025,366,31907,cash
201,26-02-2025,38,88267,nb
379,22-02-2025,117,31446,card
92,25-10-2025,331,34647,cash
190,17-07-2025,276,45988,cash
75,11-01-2025,82,74329,card
392,22-12-2025,286,20596,cash
149,27-12-2025,230,76512,card
67,16-11-2025,179,5254,upi
475,17-05-2025,84,10514,cash
369,03-12-2025,281,71922,upi
434,22-04-2025,375,54476,cash
406,07-03-2025,1,83639,card
269,02-10-2025,123,75731,upi
463,13-11-2025,438,7437,upi
119,10-07-2025,430,31382,card
181,29-11-2025,114,94672,card
